"number of E (V), "	I (A) couples: 20000
0.4732	1.89E-15
0.4731	1.90E-15
0.473	1.90E-15
0.4729	1.91E-15
0.4728	1.92E-15
0.4727	1.93E-15
0.4726	1.93E-15
0.4725	1.94E-15
0.4724	1.95E-15
0.4723	1.96E-15
0.4722	1.97E-15
0.4721	1.97E-15
0.472	1.98E-15
0.4719	1.99E-15
0.4718	2.00E-15
0.4717	2.00E-15
0.4716	2.01E-15
0.4715	2.02E-15
0.4714	2.03E-15
0.4713	2.04E-15
0.4712	2.04E-15
0.4711	2.05E-15
0.471	2.06E-15
0.4709	2.07E-15
0.4708	2.08E-15
0.4707	2.08E-15
0.4706	2.09E-15
0.4705	2.10E-15
0.4704	2.11E-15
0.4703	2.12E-15
0.4702	2.12E-15
0.4701	2.13E-15
0.47	2.14E-15
0.4699	2.15E-15
0.4698	2.16E-15
0.4697	2.17E-15
0.4696	2.17E-15
0.4695	2.18E-15
0.4694	2.19E-15
0.4693	2.20E-15
0.4692	2.21E-15
0.4691	2.22E-15
0.469	2.23E-15
0.4689	2.23E-15
0.4688	2.24E-15
0.4687	2.25E-15
0.4686	2.26E-15
0.4685	2.27E-15
0.4684	2.28E-15
0.4683	2.29E-15
0.4682	2.30E-15
0.4681	2.31E-15
0.468	2.31E-15
0.4679	2.32E-15
0.4678	2.33E-15
0.4677	2.34E-15
0.4676	2.35E-15
0.4675	2.36E-15
0.4674	2.37E-15
0.4673	2.38E-15
0.4672	2.39E-15
0.4671	2.40E-15
0.467	2.41E-15
0.4669	2.42E-15
0.4668	2.42E-15
0.4667	2.43E-15
0.4666	2.44E-15
0.4665	2.45E-15
0.4664	2.46E-15
0.4663	2.47E-15
0.4662	2.48E-15
0.4661	2.49E-15
0.466	2.50E-15
0.4659	2.51E-15
0.4658	2.52E-15
0.4657	2.53E-15
0.4656	2.54E-15
0.4655	2.55E-15
0.4654	2.56E-15
0.4653	2.57E-15
0.4652	2.58E-15
0.4651	2.59E-15
0.465	2.60E-15
0.4649	2.61E-15
0.4648	2.62E-15
0.4647	2.63E-15
0.4646	2.64E-15
0.4645	2.65E-15
0.4644	2.66E-15
0.4643	2.67E-15
0.4642	2.68E-15
0.4641	2.69E-15
0.464	2.70E-15
0.4639	2.71E-15
0.4638	2.72E-15
0.4637	2.74E-15
0.4636	2.75E-15
0.4635	2.76E-15
0.4634	2.77E-15
0.4633	2.78E-15
0.4632	2.79E-15
0.4631	2.80E-15
0.463	2.81E-15
0.4629	2.82E-15
0.4628	2.83E-15
0.4627	2.84E-15
0.4626	2.86E-15
0.4625	2.87E-15
0.4624	2.88E-15
0.4623	2.89E-15
0.4622	2.90E-15
0.4621	2.91E-15
0.462	2.92E-15
0.4619	2.93E-15
0.4618	2.95E-15
0.4617	2.96E-15
0.4616	2.97E-15
0.4615	2.98E-15
0.4614	2.99E-15
0.4613	3.00E-15
0.4612	3.02E-15
0.4611	3.03E-15
0.461	3.04E-15
0.4609	3.05E-15
0.4608	3.06E-15
0.4607	3.07E-15
0.4606	3.09E-15
0.4605	3.10E-15
0.4604	3.11E-15
0.4603	3.12E-15
0.4602	3.13E-15
0.4601	3.15E-15
0.46	3.16E-15
0.4599	3.17E-15
0.4598	3.18E-15
0.4597	3.20E-15
0.4596	3.21E-15
0.4595	3.22E-15
0.4594	3.23E-15
0.4593	3.25E-15
0.4592	3.26E-15
0.4591	3.27E-15
0.459	3.28E-15
0.4589	3.30E-15
0.4588	3.31E-15
0.4587	3.32E-15
0.4586	3.34E-15
0.4585	3.35E-15
0.4584	3.36E-15
0.4583	3.38E-15
0.4582	3.39E-15
0.4581	3.40E-15
0.458	3.41E-15
0.4579	3.43E-15
0.4578	3.44E-15
0.4577	3.46E-15
0.4576	3.47E-15
0.4575	3.48E-15
0.4574	3.50E-15
0.4573	3.51E-15
0.4572	3.52E-15
0.4571	3.54E-15
0.457	3.55E-15
0.4569	3.56E-15
0.4568	3.58E-15
0.4567	3.59E-15
0.4566	3.61E-15
0.4565	3.62E-15
0.4564	3.63E-15
0.4563	3.65E-15
0.4562	3.66E-15
0.4561	3.68E-15
0.456	3.69E-15
0.4559	3.71E-15
0.4558	3.72E-15
0.4557	3.73E-15
0.4556	3.75E-15
0.4555	3.76E-15
0.4554	3.78E-15
0.4553	3.79E-15
0.4552	3.81E-15
0.4551	3.82E-15
0.455	3.84E-15
0.4549	3.85E-15
0.4548	3.87E-15
0.4547	3.88E-15
0.4546	3.90E-15
0.4545	3.91E-15
0.4544	3.93E-15
0.4543	3.94E-15
0.4542	3.96E-15
0.4541	3.97E-15
0.454	3.99E-15
0.4539	4.01E-15
0.4538	4.02E-15
0.4537	4.04E-15
0.4536	4.05E-15
0.4535	4.07E-15
0.4534	4.08E-15
0.4533	4.10E-15
0.4532	4.12E-15
0.4531	4.13E-15
0.453	4.15E-15
0.4529	4.16E-15
0.4528	4.18E-15
0.4527	4.20E-15
0.4526	4.21E-15
0.4525	4.23E-15
0.4524	4.25E-15
0.4523	4.26E-15
0.4522	4.28E-15
0.4521	4.30E-15
0.452	4.31E-15
0.4519	4.33E-15
0.4518	4.35E-15
0.4517	4.36E-15
0.4516	4.38E-15
0.4515	4.40E-15
0.4514	4.41E-15
0.4513	4.43E-15
0.4512	4.45E-15
0.4511	4.47E-15
0.451	4.48E-15
