"number of E (V), "	I (A) couples: 20000
-0.0209	4.00E-08
-0.021	4.00E-08
-0.0211	3.99E-08
-0.0212	3.98E-08
-0.0213	3.98E-08
-0.0214	3.97E-08
-0.0215	3.97E-08
-0.0216	3.96E-08
-0.0217	3.95E-08
-0.0218	3.95E-08
-0.0219	3.94E-08
-0.022	3.94E-08
-0.0221	3.93E-08
-0.0222	3.92E-08
-0.0223	3.92E-08
-0.0224	3.91E-08
-0.0225	3.90E-08
-0.0226	3.90E-08
-0.0227	3.89E-08
-0.0228	3.89E-08
-0.0229	3.88E-08
-0.023	3.87E-08
-0.0231	3.87E-08
-0.0232	3.86E-08
-0.0233	3.85E-08
-0.0234	3.85E-08
-0.0235	3.84E-08
-0.0236	3.83E-08
-0.0237	3.83E-08
-0.0238	3.82E-08
-0.0239	3.82E-08
-0.024	3.81E-08
-0.0241	3.80E-08
-0.0242	3.80E-08
-0.0243	3.79E-08
-0.0244	3.78E-08
-0.0245	3.78E-08
-0.0246	3.77E-08
-0.0247	3.76E-08
-0.0248	3.76E-08
-0.0249	3.75E-08
-0.025	3.74E-08
-0.0251	3.74E-08
-0.0252	3.73E-08
-0.0253	3.72E-08
-0.0254	3.72E-08
-0.0255	3.71E-08
-0.0256	3.70E-08
-0.0257	3.70E-08
-0.0258	3.69E-08
-0.0259	3.68E-08
-0.026	3.68E-08
-0.0261	3.67E-08
-0.0262	3.66E-08
-0.0263	3.66E-08
-0.0264	3.65E-08
-0.0265	3.64E-08
-0.0266	3.64E-08
-0.0267	3.63E-08
-0.0268	3.62E-08
-0.0269	3.62E-08
-0.027	3.61E-08
-0.0271	3.60E-08
-0.0272	3.60E-08
-0.0273	3.59E-08
-0.0274	3.58E-08
-0.0275	3.58E-08
-0.0276	3.57E-08
-0.0277	3.56E-08
-0.0278	3.56E-08
-0.0279	3.55E-08
-0.028	3.54E-08
-0.0281	3.54E-08
-0.0282	3.53E-08
-0.0283	3.52E-08
-0.0284	3.52E-08
-0.0285	3.51E-08
-0.0286	3.50E-08
-0.0287	3.50E-08
-0.0288	3.49E-08
-0.0289	3.48E-08
-0.029	3.47E-08
-0.0291	3.47E-08
-0.0292	3.46E-08
-0.0293	3.45E-08
-0.0294	3.45E-08
-0.0295	3.44E-08
-0.0296	3.43E-08
-0.0297	3.43E-08
-0.0298	3.42E-08
-0.0299	3.41E-08
-0.03	3.41E-08
-0.0301	3.40E-08
-0.0302	3.39E-08
-0.0303	3.38E-08
-0.0304	3.38E-08
-0.0305	3.37E-08
-0.0306	3.36E-08
-0.0307	3.36E-08
-0.0308	3.35E-08
-0.0309	3.34E-08
-0.031	3.34E-08
-0.0311	3.33E-08
-0.0312	3.32E-08
-0.0313	3.31E-08
-0.0314	3.31E-08
-0.0315	3.30E-08
-0.0316	3.29E-08
-0.0317	3.29E-08
-0.0318	3.28E-08
-0.0319	3.27E-08
-0.032	3.27E-08
-0.0321	3.26E-08
-0.0322	3.25E-08
-0.0323	3.24E-08
-0.0324	3.24E-08
-0.0325	3.23E-08
-0.0326	3.22E-08
-0.0327	3.22E-08
-0.0328	3.21E-08
-0.0329	3.20E-08
-0.033	3.20E-08
-0.0331	3.19E-08
-0.0332	3.18E-08
-0.0333	3.17E-08
-0.0334	3.17E-08
-0.0335	3.16E-08
-0.0336	3.15E-08
-0.0337	3.15E-08
-0.0338	3.14E-08
-0.0339	3.13E-08
-0.034	3.13E-08
-0.0341	3.12E-08
-0.0342	3.11E-08
-0.0343	3.10E-08
-0.0344	3.10E-08
-0.0345	3.09E-08
-0.0346	3.08E-08
-0.0347	3.08E-08
-0.0348	3.07E-08
-0.0349	3.06E-08
-0.035	3.06E-08
-0.0351	3.05E-08
-0.0352	3.04E-08
-0.0353	3.03E-08
-0.0354	3.03E-08
-0.0355	3.02E-08
-0.0356	3.01E-08
-0.0357	3.01E-08
-0.0358	3.00E-08
-0.0359	2.99E-08
-0.036	2.99E-08
-0.0361	2.98E-08
-0.0362	2.97E-08
-0.0363	2.96E-08
-0.0364	2.96E-08
-0.0365	2.95E-08
-0.0366	2.94E-08
-0.0367	2.94E-08
-0.0368	2.93E-08
-0.0369	2.92E-08
-0.037	2.92E-08
-0.0371	2.91E-08
-0.0372	2.90E-08
-0.0373	2.89E-08
-0.0374	2.89E-08
-0.0375	2.88E-08
-0.0376	2.87E-08
-0.0377	2.87E-08
-0.0378	2.86E-08
-0.0379	2.85E-08
-0.038	2.85E-08
-0.0381	2.84E-08
-0.0382	2.83E-08
-0.0383	2.82E-08
-0.0384	2.82E-08
-0.0385	2.81E-08
-0.0386	2.80E-08
-0.0387	2.80E-08
-0.0388	2.79E-08
-0.0389	2.78E-08
-0.039	2.78E-08
-0.0391	2.77E-08
-0.0392	2.76E-08
-0.0393	2.76E-08
-0.0394	2.75E-08
-0.0395	2.74E-08
-0.0396	2.74E-08
-0.0397	2.73E-08
-0.0398	2.72E-08
-0.0399	2.71E-08
-0.04	2.71E-08
-0.0401	2.70E-08
-0.0402	2.69E-08
-0.0403	2.69E-08
-0.0404	2.68E-08
-0.0405	2.67E-08
-0.0406	2.67E-08
-0.0407	2.66E-08
-0.0408	2.65E-08
-0.0409	2.65E-08
-0.041	2.64E-08
-0.0411	2.63E-08
-0.0412	2.63E-08
-0.0413	2.62E-08
-0.0414	2.61E-08
-0.0415	2.61E-08
-0.0416	2.60E-08
-0.0417	2.59E-08
-0.0418	2.59E-08
-0.0419	2.58E-08
-0.042	2.57E-08
-0.0421	2.57E-08
-0.0422	2.56E-08
-0.0423	2.55E-08
-0.0424	2.55E-08
-0.0425	2.54E-08
-0.0426	2.53E-08
-0.0427	2.53E-08
-0.0428	2.52E-08
-0.0429	2.51E-08
-0.043	2.51E-08
-0.0431	2.50E-08
-0.0432	2.49E-08
-0.0433	2.49E-08
-0.0434	2.48E-08
-0.0435	2.47E-08
-0.0436	2.47E-08
-0.0437	2.46E-08
-0.0438	2.45E-08
-0.0439	2.45E-08
-0.044	2.44E-08
-0.0441	2.43E-08
-0.0442	2.43E-08
-0.0443	2.42E-08
-0.0444	2.41E-08
-0.0445	2.41E-08
-0.0446	2.40E-08
-0.0447	2.39E-08
-0.0448	2.39E-08
-0.0449	2.38E-08
-0.045	2.37E-08
-0.0451	2.37E-08
-0.0452	2.36E-08
-0.0453	2.35E-08
-0.0454	2.35E-08
-0.0455	2.34E-08
-0.0456	2.34E-08
-0.0457	2.33E-08
-0.0458	2.32E-08
-0.0459	2.32E-08
-0.046	2.31E-08
-0.0461	2.30E-08
-0.0462	2.30E-08
-0.0463	2.29E-08
-0.0464	2.28E-08
-0.0465	2.28E-08
-0.0466	2.27E-08
-0.0467	2.27E-08
-0.0468	2.26E-08
-0.0469	2.25E-08
-0.047	2.25E-08
-0.0471	2.24E-08
-0.0472	2.23E-08
-0.0473	2.23E-08
-0.0474	2.22E-08
-0.0475	2.22E-08
-0.0476	2.21E-08
-0.0477	2.20E-08
-0.0478	2.20E-08
-0.0479	2.19E-08
-0.048	2.18E-08
-0.0481	2.18E-08
-0.0482	2.17E-08
-0.0483	2.17E-08
-0.0484	2.16E-08
-0.0485	2.15E-08
-0.0486	2.15E-08
-0.0487	2.14E-08
-0.0488	2.13E-08
-0.0489	2.13E-08
-0.049	2.12E-08
-0.0491	2.12E-08
-0.0492	2.11E-08
-0.0493	2.10E-08
-0.0494	2.10E-08
-0.0495	2.09E-08
-0.0496	2.09E-08
-0.0497	2.08E-08
-0.0498	2.07E-08
-0.0499	2.07E-08
-0.05	2.06E-08
-0.0501	2.06E-08
-0.0502	2.05E-08
-0.0503	2.04E-08
-0.0504	2.04E-08
-0.0505	2.03E-08
-0.0506	2.03E-08
-0.0507	2.02E-08
-0.0508	2.01E-08
-0.0509	2.01E-08
-0.051	2.00E-08
-0.0511	2.00E-08
-0.0512	1.99E-08
-0.0513	1.99E-08
-0.0514	1.98E-08
-0.0515	1.97E-08
-0.0516	1.97E-08
-0.0517	1.96E-08
-0.0518	1.96E-08
-0.0519	1.95E-08
-0.052	1.94E-08
-0.0521	1.94E-08
-0.0522	1.93E-08
-0.0523	1.93E-08
-0.0524	1.92E-08
-0.0525	1.92E-08
-0.0526	1.91E-08
-0.0527	1.90E-08
-0.0528	1.90E-08
-0.0529	1.89E-08
-0.053	1.89E-08
-0.0531	1.88E-08
-0.0532	1.88E-08
-0.0533	1.87E-08
-0.0534	1.86E-08
-0.0535	1.86E-08
-0.0536	1.85E-08
-0.0537	1.85E-08
-0.0538	1.84E-08
-0.0539	1.84E-08
-0.054	1.83E-08
-0.0541	1.83E-08
-0.0542	1.82E-08
-0.0543	1.81E-08
-0.0544	1.81E-08
-0.0545	1.80E-08
-0.0546	1.80E-08
-0.0547	1.79E-08
-0.0548	1.79E-08
-0.0549	1.78E-08
-0.055	1.78E-08
-0.0551	1.77E-08
-0.0552	1.77E-08
-0.0553	1.76E-08
-0.0554	1.75E-08
-0.0555	1.75E-08
-0.0556	1.74E-08
-0.0557	1.74E-08
-0.0558	1.73E-08
-0.0559	1.73E-08
-0.056	1.72E-08
-0.0561	1.72E-08
-0.0562	1.71E-08
-0.0563	1.71E-08
-0.0564	1.70E-08
-0.0565	1.70E-08
-0.0566	1.69E-08
-0.0567	1.69E-08
-0.0568	1.68E-08
-0.0569	1.68E-08
-0.057	1.67E-08
-0.0571	1.67E-08
-0.0572	1.66E-08
-0.0573	1.65E-08
-0.0574	1.65E-08
-0.0575	1.64E-08
-0.0576	1.64E-08
-0.0577	1.63E-08
-0.0578	1.63E-08
-0.0579	1.62E-08
-0.058	1.62E-08
-0.0581	1.61E-08
-0.0582	1.61E-08
-0.0583	1.60E-08
-0.0584	1.60E-08
-0.0585	1.59E-08
-0.0586	1.59E-08
-0.0587	1.58E-08
-0.0588	1.58E-08
-0.0589	1.57E-08
-0.059	1.57E-08
-0.0591	1.56E-08
-0.0592	1.56E-08
-0.0593	1.55E-08
-0.0594	1.55E-08
-0.0595	1.54E-08
-0.0596	1.54E-08
-0.0597	1.53E-08
-0.0598	1.53E-08
-0.0599	1.52E-08
-0.06	1.52E-08
-0.0601	1.51E-08
-0.0602	1.51E-08
-0.0603	1.51E-08
-0.0604	1.50E-08
-0.0605	1.50E-08
-0.0606	1.49E-08
-0.0607	1.49E-08
-0.0608	1.48E-08
-0.0609	1.48E-08
-0.061	1.47E-08
-0.0611	1.47E-08
-0.0612	1.46E-08
-0.0613	1.46E-08
-0.0614	1.45E-08
-0.0615	1.45E-08
-0.0616	1.44E-08
-0.0617	1.44E-08
-0.0618	1.43E-08
-0.0619	1.43E-08
-0.062	1.43E-08
-0.0621	1.42E-08
-0.0622	1.42E-08
-0.0623	1.41E-08
-0.0624	1.41E-08
-0.0625	1.40E-08
-0.0626	1.40E-08
-0.0627	1.39E-08
-0.0628	1.39E-08
-0.0629	1.38E-08
-0.063	1.38E-08
-0.0631	1.38E-08
-0.0632	1.37E-08
-0.0633	1.37E-08
-0.0634	1.36E-08
-0.0635	1.36E-08
-0.0636	1.35E-08
-0.0637	1.35E-08
-0.0638	1.34E-08
-0.0639	1.34E-08
-0.064	1.34E-08
-0.0641	1.33E-08
-0.0642	1.33E-08
-0.0643	1.32E-08
-0.0644	1.32E-08
-0.0645	1.31E-08
-0.0646	1.31E-08
-0.0647	1.31E-08
-0.0648	1.30E-08
-0.0649	1.30E-08
-0.065	1.29E-08
-0.0651	1.29E-08
-0.0652	1.28E-08
-0.0653	1.28E-08
-0.0654	1.28E-08
-0.0655	1.27E-08
-0.0656	1.27E-08
-0.0657	1.26E-08
-0.0658	1.26E-08
-0.0659	1.25E-08
-0.066	1.25E-08
-0.0661	1.25E-08
-0.0662	1.24E-08
-0.0663	1.24E-08
-0.0664	1.23E-08
-0.0665	1.23E-08
-0.0666	1.23E-08
-0.0667	1.22E-08
-0.0668	1.22E-08
-0.0669	1.21E-08
-0.067	1.21E-08
-0.0671	1.21E-08
-0.0672	1.20E-08
-0.0673	1.20E-08
-0.0674	1.19E-08
-0.0675	1.19E-08
-0.0676	1.19E-08
-0.0677	1.18E-08
-0.0678	1.18E-08
-0.0679	1.17E-08
-0.068	1.17E-08
-0.0681	1.17E-08
-0.0682	1.16E-08
-0.0683	1.16E-08
-0.0684	1.15E-08
-0.0685	1.15E-08
-0.0686	1.15E-08
-0.0687	1.14E-08
-0.0688	1.14E-08
-0.0689	1.14E-08
-0.069	1.13E-08
-0.0691	1.13E-08
-0.0692	1.12E-08
-0.0693	1.12E-08
-0.0694	1.12E-08
-0.0695	1.11E-08
-0.0696	1.11E-08
-0.0697	1.10E-08
-0.0698	1.10E-08
-0.0699	1.10E-08
-0.07	1.09E-08
-0.0701	1.09E-08
-0.0702	1.09E-08
-0.0703	1.08E-08
-0.0704	1.08E-08
-0.0705	1.08E-08
-0.0706	1.07E-08
-0.0707	1.07E-08
-0.0708	1.06E-08
-0.0709	1.06E-08
-0.071	1.06E-08
-0.0711	1.05E-08
-0.0712	1.05E-08
-0.0713	1.05E-08
-0.0714	1.04E-08
-0.0715	1.04E-08
-0.0716	1.04E-08
-0.0717	1.03E-08
-0.0718	1.03E-08
-0.0719	1.03E-08
-0.072	1.02E-08
-0.0721	1.02E-08
-0.0722	1.01E-08
-0.0723	1.01E-08
-0.0724	1.01E-08
-0.0725	1.00E-08
-0.0726	1.00E-08
-0.0727	9.98E-09
-0.0728	9.94E-09
-0.0729	9.91E-09
-0.073	9.88E-09
-0.0731	9.84E-09
-0.0732	9.81E-09
-0.0733	9.77E-09
-0.0734	9.74E-09
-0.0735	9.71E-09
-0.0736	9.67E-09
-0.0737	9.64E-09
-0.0738	9.61E-09
-0.0739	9.57E-09
-0.074	9.54E-09
-0.0741	9.51E-09
-0.0742	9.48E-09
-0.0743	9.44E-09
-0.0744	9.41E-09
-0.0745	9.38E-09
-0.0746	9.35E-09
-0.0747	9.31E-09
-0.0748	9.28E-09
-0.0749	9.25E-09
-0.075	9.22E-09
-0.0751	9.19E-09
-0.0752	9.15E-09
-0.0753	9.12E-09
-0.0754	9.09E-09
-0.0755	9.06E-09
-0.0756	9.03E-09
-0.0757	9.00E-09
-0.0758	8.97E-09
-0.0759	8.94E-09
-0.076	8.90E-09
-0.0761	8.87E-09
-0.0762	8.84E-09
-0.0763	8.81E-09
-0.0764	8.78E-09
-0.0765	8.75E-09
-0.0766	8.72E-09
-0.0767	8.69E-09
-0.0768	8.66E-09
-0.0769	8.63E-09
-0.077	8.60E-09
-0.0771	8.57E-09
-0.0772	8.54E-09
-0.0773	8.51E-09
-0.0774	8.48E-09
-0.0775	8.45E-09
-0.0776	8.42E-09
-0.0777	8.39E-09
-0.0778	8.36E-09
-0.0779	8.33E-09
-0.078	8.31E-09
-0.0781	8.28E-09
-0.0782	8.25E-09
-0.0783	8.22E-09
-0.0784	8.19E-09
-0.0785	8.16E-09
-0.0786	8.13E-09
-0.0787	8.10E-09
-0.0788	8.08E-09
-0.0789	8.05E-09
-0.079	8.02E-09
-0.0791	7.99E-09
-0.0792	7.96E-09
-0.0793	7.94E-09
-0.0794	7.91E-09
-0.0795	7.88E-09
-0.0796	7.85E-09
-0.0797	7.83E-09
-0.0798	7.80E-09
-0.0799	7.77E-09
-0.08	7.74E-09
-0.0801	7.72E-09
-0.0802	7.69E-09
-0.0803	7.66E-09
-0.0804	7.64E-09
-0.0805	7.61E-09
-0.0806	7.58E-09
-0.0807	7.56E-09
-0.0808	7.53E-09
-0.0809	7.50E-09
-0.081	7.48E-09
-0.0811	7.45E-09
-0.0812	7.42E-09
-0.0813	7.40E-09
-0.0814	7.37E-09
-0.0815	7.34E-09
-0.0816	7.32E-09
-0.0817	7.29E-09
-0.0818	7.27E-09
-0.0819	7.24E-09
-0.082	7.22E-09
-0.0821	7.19E-09
-0.0822	7.17E-09
-0.0823	7.14E-09
-0.0824	7.11E-09
-0.0825	7.09E-09
-0.0826	7.06E-09
-0.0827	7.04E-09
-0.0828	7.01E-09
-0.0829	6.99E-09
-0.083	6.97E-09
-0.0831	6.94E-09
-0.0832	6.92E-09
-0.0833	6.89E-09
-0.0834	6.87E-09
-0.0835	6.84E-09
-0.0836	6.82E-09
-0.0837	6.79E-09
-0.0838	6.77E-09
-0.0839	6.75E-09
-0.084	6.72E-09
-0.0841	6.70E-09
-0.0842	6.67E-09
-0.0843	6.65E-09
-0.0844	6.63E-09
-0.0845	6.60E-09
-0.0846	6.58E-09
-0.0847	6.56E-09
-0.0848	6.53E-09
-0.0849	6.51E-09
-0.085	6.49E-09
-0.0851	6.46E-09
-0.0852	6.44E-09
-0.0853	6.42E-09
-0.0854	6.40E-09
-0.0855	6.37E-09
-0.0856	6.35E-09
-0.0857	6.33E-09
-0.0858	6.30E-09
-0.0859	6.28E-09
-0.086	6.26E-09
-0.0861	6.24E-09
-0.0862	6.22E-09
-0.0863	6.19E-09
-0.0864	6.17E-09
-0.0865	6.15E-09
-0.0866	6.13E-09
-0.0867	6.11E-09
-0.0868	6.08E-09
-0.0869	6.06E-09
-0.087	6.04E-09
-0.0871	6.02E-09
-0.0872	6.00E-09
-0.0873	5.98E-09
-0.0874	5.95E-09
-0.0875	5.93E-09
-0.0876	5.91E-09
-0.0877	5.89E-09
-0.0878	5.87E-09
-0.0879	5.85E-09
-0.088	5.83E-09
-0.0881	5.81E-09
-0.0882	5.79E-09
-0.0883	5.77E-09
-0.0884	5.74E-09
-0.0885	5.72E-09
-0.0886	5.70E-09
-0.0887	5.68E-09
-0.0888	5.66E-09
-0.0889	5.64E-09
-0.089	5.62E-09
-0.0891	5.60E-09
-0.0892	5.58E-09
-0.0893	5.56E-09
-0.0894	5.54E-09
-0.0895	5.52E-09
-0.0896	5.50E-09
-0.0897	5.48E-09
-0.0898	5.46E-09
-0.0899	5.44E-09
-0.09	5.42E-09
-0.0901	5.40E-09
-0.0902	5.38E-09
-0.0903	5.37E-09
-0.0904	5.35E-09
-0.0905	5.33E-09
-0.0906	5.31E-09
-0.0907	5.29E-09
-0.0908	5.27E-09
-0.0909	5.25E-09
-0.091	5.23E-09
-0.0911	5.21E-09
-0.0912	5.19E-09
-0.0913	5.18E-09
-0.0914	5.16E-09
-0.0915	5.14E-09
-0.0916	5.12E-09
-0.0917	5.10E-09
-0.0918	5.08E-09
-0.0919	5.06E-09
-0.092	5.05E-09
-0.0921	5.03E-09
-0.0922	5.01E-09
-0.0923	4.99E-09
-0.0924	4.97E-09
-0.0925	4.96E-09
-0.0926	4.94E-09
-0.0927	4.92E-09
-0.0928	4.90E-09
-0.0929	4.88E-09
-0.093	4.87E-09
-0.0931	4.85E-09
-0.0932	4.83E-09
-0.0933	4.81E-09
-0.0934	4.80E-09
-0.0935	4.78E-09
-0.0936	4.76E-09
-0.0937	4.75E-09
-0.0938	4.73E-09
-0.0939	4.71E-09
-0.094	4.69E-09
-0.0941	4.68E-09
-0.0942	4.66E-09
-0.0943	4.64E-09
-0.0944	4.63E-09
-0.0945	4.61E-09
-0.0946	4.59E-09
-0.0947	4.58E-09
-0.0948	4.56E-09
-0.0949	4.54E-09
-0.095	4.53E-09
-0.0951	4.51E-09
-0.0952	4.49E-09
-0.0953	4.48E-09
-0.0954	4.46E-09
-0.0955	4.45E-09
-0.0956	4.43E-09
-0.0957	4.41E-09
-0.0958	4.40E-09
-0.0959	4.38E-09
-0.096	4.37E-09
-0.0961	4.35E-09
-0.0962	4.33E-09
-0.0963	4.32E-09
-0.0964	4.30E-09
-0.0965	4.29E-09
-0.0966	4.27E-09
-0.0967	4.26E-09
-0.0968	4.24E-09
-0.0969	4.23E-09
-0.097	4.21E-09
-0.0971	4.20E-09
-0.0972	4.18E-09
-0.0973	4.16E-09
-0.0974	4.15E-09
-0.0975	4.13E-09
-0.0976	4.12E-09
-0.0977	4.10E-09
-0.0978	4.09E-09
-0.0979	4.08E-09
-0.098	4.06E-09
-0.0981	4.05E-09
-0.0982	4.03E-09
-0.0983	4.02E-09
-0.0984	4.00E-09
-0.0985	3.99E-09
-0.0986	3.97E-09
-0.0987	3.96E-09
-0.0988	3.94E-09
-0.0989	3.93E-09
-0.099	3.92E-09
-0.0991	3.90E-09
-0.0992	3.89E-09
-0.0993	3.87E-09
-0.0994	3.86E-09
-0.0995	3.84E-09
-0.0996	3.83E-09
-0.0997	3.82E-09
-0.0998	3.80E-09
-0.0999	3.79E-09
-0.1	3.78E-09
-0.1001	3.76E-09
-0.1002	3.75E-09
-0.1003	3.73E-09
-0.1004	3.72E-09
-0.1005	3.71E-09
-0.1006	3.69E-09
-0.1007	3.68E-09
-0.1008	3.67E-09
-0.1009	3.65E-09
-0.101	3.64E-09
-0.1011	3.63E-09
-0.1012	3.61E-09
-0.1013	3.60E-09
-0.1014	3.59E-09
-0.1015	3.57E-09
-0.1016	3.56E-09
-0.1017	3.55E-09
-0.1018	3.54E-09
-0.1019	3.52E-09
-0.102	3.51E-09
-0.1021	3.50E-09
-0.1022	3.48E-09
-0.1023	3.47E-09
-0.1024	3.46E-09
-0.1025	3.45E-09
-0.1026	3.43E-09
-0.1027	3.42E-09
-0.1028	3.41E-09
-0.1029	3.40E-09
-0.103	3.38E-09
-0.1031	3.37E-09
-0.1032	3.36E-09
-0.1033	3.35E-09
-0.1034	3.34E-09
-0.1035	3.32E-09
-0.1036	3.31E-09
-0.1037	3.30E-09
-0.1038	3.29E-09
-0.1039	3.28E-09
-0.104	3.26E-09
-0.1041	3.25E-09
-0.1042	3.24E-09
-0.1043	3.23E-09
-0.1044	3.22E-09
-0.1045	3.20E-09
-0.1046	3.19E-09
-0.1047	3.18E-09
-0.1048	3.17E-09
-0.1049	3.16E-09
-0.105	3.15E-09
-0.1051	3.14E-09
-0.1052	3.12E-09
-0.1053	3.11E-09
-0.1054	3.10E-09
-0.1055	3.09E-09
-0.1056	3.08E-09
-0.1057	3.07E-09
-0.1058	3.06E-09
-0.1059	3.04E-09
-0.106	3.03E-09
-0.1061	3.02E-09
-0.1062	3.01E-09
-0.1063	3.00E-09
-0.1064	2.99E-09
-0.1065	2.98E-09
-0.1066	2.97E-09
-0.1067	2.96E-09
-0.1068	2.95E-09
-0.1069	2.94E-09
-0.107	2.93E-09
-0.1071	2.91E-09
-0.1072	2.90E-09
-0.1073	2.89E-09
-0.1074	2.88E-09
-0.1075	2.87E-09
-0.1076	2.86E-09
-0.1077	2.85E-09
-0.1078	2.84E-09
-0.1079	2.83E-09
-0.108	2.82E-09
-0.1081	2.81E-09
-0.1082	2.80E-09
-0.1083	2.79E-09
-0.1084	2.78E-09
-0.1085	2.77E-09
-0.1086	2.76E-09
-0.1087	2.75E-09
-0.1088	2.74E-09
-0.1089	2.73E-09
-0.109	2.72E-09
-0.1091	2.71E-09
-0.1092	2.70E-09
-0.1093	2.69E-09
-0.1094	2.68E-09
-0.1095	2.67E-09
-0.1096	2.66E-09
-0.1097	2.65E-09
-0.1098	2.64E-09
-0.1099	2.63E-09
-0.11	2.62E-09
-0.1101	2.61E-09
-0.1102	2.60E-09
-0.1103	2.59E-09
-0.1104	2.58E-09
-0.1105	2.57E-09
-0.1106	2.57E-09
-0.1107	2.56E-09
-0.1108	2.55E-09
-0.1109	2.54E-09
-0.111	2.53E-09
-0.1111	2.52E-09
-0.1112	2.51E-09
-0.1113	2.50E-09
-0.1114	2.49E-09
-0.1115	2.48E-09
-0.1116	2.47E-09
-0.1117	2.46E-09
-0.1118	2.46E-09
-0.1119	2.45E-09
-0.112	2.44E-09
-0.1121	2.43E-09
-0.1122	2.42E-09
-0.1123	2.41E-09
-0.1124	2.40E-09
-0.1125	2.39E-09
-0.1126	2.38E-09
-0.1127	2.38E-09
-0.1128	2.37E-09
-0.1129	2.36E-09
-0.113	2.35E-09
-0.1131	2.34E-09
-0.1132	2.33E-09
-0.1133	2.32E-09
-0.1134	2.32E-09
-0.1135	2.31E-09
-0.1136	2.30E-09
-0.1137	2.29E-09
-0.1138	2.28E-09
-0.1139	2.27E-09
-0.114	2.27E-09
-0.1141	2.26E-09
-0.1142	2.25E-09
-0.1143	2.24E-09
-0.1144	2.23E-09
-0.1145	2.23E-09
-0.1146	2.22E-09
-0.1147	2.21E-09
-0.1148	2.20E-09
-0.1149	2.19E-09
-0.115	2.19E-09
-0.1151	2.18E-09
-0.1152	2.17E-09
-0.1153	2.16E-09
-0.1154	2.15E-09
-0.1155	2.15E-09
-0.1156	2.14E-09
-0.1157	2.13E-09
-0.1158	2.12E-09
-0.1159	2.12E-09
-0.116	2.11E-09
-0.1161	2.10E-09
-0.1162	2.09E-09
-0.1163	2.08E-09
-0.1164	2.08E-09
-0.1165	2.07E-09
-0.1166	2.06E-09
-0.1167	2.05E-09
-0.1168	2.05E-09
-0.1169	2.04E-09
-0.117	2.03E-09
-0.1171	2.02E-09
-0.1172	2.02E-09
-0.1173	2.01E-09
-0.1174	2.00E-09
-0.1175	2.00E-09
-0.1176	1.99E-09
-0.1177	1.98E-09
-0.1178	1.97E-09
-0.1179	1.97E-09
-0.118	1.96E-09
-0.1181	1.95E-09
-0.1182	1.95E-09
-0.1183	1.94E-09
-0.1184	1.93E-09
-0.1185	1.92E-09
-0.1186	1.92E-09
-0.1187	1.91E-09
-0.1188	1.90E-09
-0.1189	1.90E-09
-0.119	1.89E-09
-0.1191	1.88E-09
-0.1192	1.88E-09
-0.1193	1.87E-09
-0.1194	1.86E-09
-0.1195	1.86E-09
-0.1196	1.85E-09
-0.1197	1.84E-09
-0.1198	1.84E-09
-0.1199	1.83E-09
-0.12	1.82E-09
-0.1201	1.82E-09
-0.1202	1.81E-09
-0.1203	1.80E-09
-0.1204	1.80E-09
-0.1205	1.79E-09
-0.1206	1.78E-09
-0.1207	1.78E-09
-0.1208	1.77E-09
-0.1209	1.76E-09
-0.121	1.76E-09
-0.1211	1.75E-09
-0.1212	1.75E-09
-0.1213	1.74E-09
-0.1214	1.73E-09
-0.1215	1.73E-09
-0.1216	1.72E-09
-0.1217	1.71E-09
-0.1218	1.71E-09
-0.1219	1.70E-09
-0.122	1.70E-09
-0.1221	1.69E-09
-0.1222	1.68E-09
-0.1223	1.68E-09
-0.1224	1.67E-09
-0.1225	1.67E-09
-0.1226	1.66E-09
-0.1227	1.65E-09
-0.1228	1.65E-09
-0.1229	1.64E-09
-0.123	1.64E-09
-0.1231	1.63E-09
-0.1232	1.62E-09
-0.1233	1.62E-09
-0.1234	1.61E-09
-0.1235	1.61E-09
-0.1236	1.60E-09
-0.1237	1.60E-09
-0.1238	1.59E-09
-0.1239	1.58E-09
-0.124	1.58E-09
-0.1241	1.57E-09
-0.1242	1.57E-09
-0.1243	1.56E-09
-0.1244	1.56E-09
-0.1245	1.55E-09
-0.1246	1.54E-09
-0.1247	1.54E-09
-0.1248	1.53E-09
-0.1249	1.53E-09
-0.125	1.52E-09
-0.1251	1.52E-09
-0.1252	1.51E-09
-0.1253	1.51E-09
-0.1254	1.50E-09
-0.1255	1.50E-09
-0.1256	1.49E-09
-0.1257	1.48E-09
-0.1258	1.48E-09
-0.1259	1.47E-09
-0.126	1.47E-09
-0.1261	1.46E-09
-0.1262	1.46E-09
-0.1263	1.45E-09
-0.1264	1.45E-09
-0.1265	1.44E-09
-0.1266	1.44E-09
-0.1267	1.43E-09
-0.1268	1.43E-09
-0.1269	1.42E-09
-0.127	1.42E-09
-0.1271	1.41E-09
-0.1272	1.41E-09
-0.1273	1.40E-09
-0.1274	1.40E-09
-0.1275	1.39E-09
-0.1276	1.39E-09
-0.1277	1.38E-09
-0.1278	1.38E-09
-0.1279	1.37E-09
-0.128	1.37E-09
-0.1281	1.36E-09
-0.1282	1.36E-09
-0.1283	1.35E-09
-0.1284	1.35E-09
-0.1285	1.34E-09
-0.1286	1.34E-09
-0.1287	1.33E-09
-0.1288	1.33E-09
-0.1289	1.32E-09
-0.129	1.32E-09
-0.1291	1.31E-09
